id;name;faction;rarity;affinity;role;jhi_rank;view_page_url;fusion;equipment_a;equipment_b;equipment_stat_priority_a;equipment_stat_priority_b;tier;health_points;attack;defense;speed;critical_rate;critical_damage;resistance;accuracy;campaign_rating;faction_war_rating;arena_offense_rating;arena_defense_rating;ice_golem_rating;spiders_den_rating;minotaurs_labyrinth_rating;dragons_lair_rating;fire_knights_castle_rating;void_keep_rating;spirit_keep_rating;magic_keep_rating;force_keep_rating
1;Generic Rubber Cheese;generating Savings Account cross-platform;bypassing;Croatia;extend Generic navigate;SMTP Rhode Island;Compatible pricing structure payment;deliver deposit Generic;optimizing Marketing;Bacon Checking Account;Car Facilitator;Chair backing up Auto Loan Account;1173;64538;68083;98273;19892;76831;37197;88326;53283;12626;47960;26169;99345;68147;33168;21852;66444;70236;8943;91307;3785;83226
2;Usability deposit index;invoice Mauritius Rupee;killer;wireless Manat;Indian Rupee Ngultrum Sausages;Virtual Plastic;Israel;leverage Accountability;uniform;next generation;Gorgeous override strategic;Buckinghamshire Coves Fall;24731;19816;16374;71023;41509;40830;17380;80703;48366;50263;72212;76647;29647;31483;6609;17269;73017;429;15697;57423;1791;72412
3;Communications;Cambridgeshire override Dynamic;asymmetric forecast;online invoice;digital quantify;purple;Wisconsin;multi-tasking;Buckinghamshire;applications;payment Money Market Account;context-sensitive reintermediate;62232;21214;99136;18530;8330;21070;99143;53530;17993;94857;1653;58597;11208;37899;55173;59939;67288;83479;89028;52034;53948;80239
4;Massachusetts;Representative Borders Bedfordshire;Cayman Islands Group;Kentucky transmit solid state;installation Borders Wooden;Enhanced;Practical Frozen Sausages;Investor;cross-platform primary Legacy;backing up eyeballs;Montana bricks-and-clicks;Down-sized payment experiences;31777;60474;16600;65210;364;56610;11492;36094;42720;85103;23092;81245;51719;74058;35815;12274;17124;27777;7715;38156;78375;47978
5;GB system;engage;utilisation Nigeria;radical;Sausages;drive;Wyoming Unbranded North Carolina;Customizable Lodge generating;Shores system;solid state;payment COM;El Salvador hack;85658;46008;26097;9531;81249;59705;31411;226;8616;67477;41880;37312;72948;27190;19527;91784;48610;99508;46749;57296;73382;71639
6;Infrastructure Dynamic;alliance;Sleek Rubber Cheese Books;1080p;Small;New Taiwan Dollar partnerships;static;Avenue navigating Gorgeous;Future-proofed Producer transparent;Agent Savings Account;withdrawal bypassing Future;Personal Loan Account pink New Leu;27783;84880;95099;71234;23443;45384;28150;11972;30454;30921;41105;14611;32512;32365;99712;89901;3205;7921;15827;39731;44017;37360
7;Argentine Peso;Object-based Illinois;Wooden compressing;Cuban Peso Peso Convertible Wooden;Personal Loan Account eyeballs Borders;withdrawal Pula;deposit JSON;Via magenta Israel;extend navigating Gorgeous;Borders exploit;Total framework Albania;Executive;35916;89416;60360;85082;7945;67390;4541;95449;41271;17786;28672;90509;27154;66832;117;39426;66933;14050;83448;65273;20857;54127
8;HTTP olive redefine;Kansas;indexing multi-byte;online iterate;Specialist Small Cotton Soap;Paradigm withdrawal directional;Ethiopian Birr paradigms;driver Cuban Peso Peso Convertible Pizza;Granite indexing;Implemented;calculating;Berkshire Handmade synergies;89350;99495;89238;86515;48684;4854;53312;87802;50102;93139;52684;42816;5745;79312;46917;82790;42910;48139;65596;82137;82236;63210
9;Small Planner;e-business;Consultant;white facilitate architectures;magenta;granular Cotton deposit;programming;FTP asymmetric Automotive;Ergonomic Concrete Salad;service-desk Somali Shilling Shirt;withdrawal Licensed Rustic;International Netherlands Antilles Shoals;88000;38768;41759;71879;30031;12944;80406;45387;48675;66198;2600;17167;55360;47402;67041;23730;47901;78443;58485;24797;41979;97166
10;USB THX;Beauty Architect tan;Buckinghamshire orchid Canadian Dollar;enhance plug-and-play;New Caledonia matrix PNG;ability;deposit Berkshire Ergonomic;Producer SCSI SMS;cross-platform open-source;withdrawal;Generic;PNG;38997;97573;33924;80953;85464;23716;15497;67134;77205;3854;84638;40484;42190;24453;51054;48656;8204;66064;21008;41748;60319;47924
